,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
12958,1,71,200.0,98.0,27.0,108.0,40.6
3872,0,71,189.0,89.0,18.0,89.0,40.4
8439,1,35,203.0,109.0,12.0,94.0,40.1
8845,0,62,163.0,67.0,28.0,105.0,40.8
2620,0,21,157.0,59.0,28.0,114.0,40.7
13539,0,27,153.0,56.0,13.0,84.0,40.1
3026,1,22,176.0,79.0,9.0,90.0,39.6
4731,0,51,169.0,70.0,9.0,98.0,39.8
4102,0,62,178.0,77.0,16.0,91.0,40.7
9479,1,46,176.0,76.0,10.0,83.0,39.9
11247,0,23,165.0,66.0,13.0,95.0,40.1
9808,1,38,195.0,100.0,21.0,105.0,40.7
10687,0,22,158.0,56.0,26.0,107.0,40.9
10530,1,45,196.0,102.0,29.0,118.0,41.0
8986,1,22,160.0,64.0,21.0,102.0,40.5
2685,0,68,170.0,73.0,6.0,93.0,39.3
9384,1,28,197.0,98.0,28.0,108.0,40.3
9745,0,25,162.0,60.0,4.0,84.0,38.9
6818,1,76,204.0,109.0,29.0,107.0,41.3
911,0,24,175.0,67.0,24.0,105.0,40.6
8791,0,53,167.0,64.0,8.0,89.0,39.9
12732,1,69,189.0,93.0,30.0,104.0,40.9
7077,0,37,171.0,67.0,21.0,101.0,40.7
1345,1,27,188.0,81.0,8.0,92.0,39.6
1444,1,60,171.0,79.0,28.0,121.0,41.2
5651,0,32,163.0,60.0,11.0,100.0,39.4
3499,0,65,178.0,73.0,17.0,91.0,40.2
9152,1,74,187.0,88.0,9.0,88.0,39.4
11295,0,39,159.0,61.0,17.0,92.0,40.1
8012,1,32,185.0,89.0,4.0,88.0,38.6
2422,0,39,159.0,59.0,6.0,87.0,39.0
4901,1,36,191.0,93.0,15.0,98.0,40.3
2732,1,28,166.0,66.0,2.0,72.0,38.0
80,1,62,197.0,101.0,17.0,103.0,40.3
4217,1,27,181.0,81.0,14.0,86.0,40.5
13886,1,43,179.0,82.0,9.0,90.0,39.9
10464,1,41,201.0,108.0,6.0,92.0,39.7
6902,1,70,174.0,81.0,27.0,102.0,40.9
4874,0,78,177.0,76.0,22.0,101.0,40.6
11797,1,55,183.0,88.0,3.0,79.0,38.6
5899,1,40,207.0,113.0,20.0,98.0,40.2
9513,0,47,171.0,69.0,19.0,100.0,40.4
1572,1,32,185.0,84.0,28.0,107.0,40.9
12995,1,29,193.0,92.0,4.0,85.0,39.0
879,0,38,174.0,73.0,17.0,100.0,40.3
1578,1,69,184.0,83.0,5.0,91.0,39.1
6472,1,67,167.0,70.0,29.0,109.0,41.2
1509,1,78,184.0,92.0,24.0,97.0,40.8
1896,0,59,135.0,38.0,17.0,98.0,40.4
8963,1,37,192.0,88.0,9.0,90.0,39.5
4112,0,43,172.0,64.0,9.0,84.0,39.5
10140,0,24,161.0,60.0,22.0,106.0,40.7
1845,0,32,161.0,59.0,25.0,110.0,40.7
13942,1,59,205.0,103.0,28.0,105.0,40.6
9751,0,69,172.0,73.0,19.0,103.0,40.2
9282,1,28,192.0,88.0,4.0,80.0,38.8
7565,0,64,182.0,78.0,8.0,97.0,39.4
5194,0,25,165.0,66.0,11.0,103.0,40.2
5418,1,65,179.0,84.0,9.0,85.0,39.4
13896,0,67,159.0,58.0,23.0,101.0,40.4
13133,0,31,166.0,63.0,19.0,99.0,40.5
7413,0,25,186.0,81.0,11.0,88.0,39.5
14115,0,62,167.0,64.0,3.0,86.0,38.8
5405,1,31,184.0,83.0,2.0,83.0,37.9
8310,1,30,206.0,106.0,6.0,92.0,39.2
3614,1,67,190.0,87.0,10.0,90.0,39.9
2108,0,42,152.0,60.0,16.0,94.0,40.2
12437,1,46,175.0,71.0,8.0,98.0,39.7
8248,0,63,160.0,57.0,8.0,90.0,39.4
14947,0,21,168.0,58.0,5.0,87.0,39.3
11376,0,29,179.0,69.0,14.0,92.0,40.4
14126,0,69,157.0,58.0,8.0,91.0,39.6
7759,0,71,181.0,78.0,1.0,76.0,37.8
12695,0,48,155.0,54.0,2.0,78.0,37.7
5653,0,59,144.0,48.0,15.0,101.0,40.1
13210,1,39,208.0,105.0,6.0,86.0,39.2
8431,0,54,145.0,46.0,5.0,82.0,39.0
6827,1,48,179.0,81.0,19.0,101.0,40.9
14744,1,79,194.0,101.0,14.0,90.0,40.0
4325,0,20,152.0,54.0,17.0,94.0,40.3
3219,1,51,184.0,93.0,3.0,84.0,38.5
9642,1,20,169.0,69.0,2.0,83.0,38.4
6345,1,22,172.0,75.0,25.0,106.0,40.8
6884,0,70,172.0,73.0,3.0,80.0,38.6
1193,0,24,149.0,46.0,27.0,112.0,40.8
45,0,47,155.0,55.0,16.0,93.0,40.5
13954,1,23,195.0,95.0,18.0,91.0,40.5
976,0,47,162.0,58.0,17.0,95.0,40.4
11890,0,68,162.0,63.0,9.0,93.0,39.5
2963,1,31,177.0,78.0,7.0,80.0,39.5
1584,0,63,171.0,70.0,12.0,87.0,39.8
9459,0,55,170.0,62.0,23.0,102.0,40.5
4515,0,27,170.0,66.0,5.0,82.0,39.1
12799,1,59,193.0,97.0,12.0,92.0,39.7
11038,1,31,195.0,92.0,17.0,98.0,40.2
1975,0,24,157.0,56.0,15.0,98.0,39.7
3912,1,57,186.0,83.0,18.0,98.0,40.7
9811,0,65,153.0,52.0,9.0,81.0,39.4
6717,0,62,176.0,69.0,8.0,91.0,39.8
4411,0,30,170.0,65.0,5.0,75.0,39.3
12863,1,21,193.0,90.0,24.0,100.0,40.9
8994,1,22,188.0,90.0,20.0,96.0,40.5
12655,0,26,150.0,52.0,29.0,108.0,40.5
10950,1,21,176.0,75.0,22.0,107.0,40.8
11675,1,72,192.0,99.0,28.0,103.0,40.7
11880,1,29,193.0,94.0,13.0,96.0,39.9
2840,0,25,176.0,73.0,25.0,109.0,40.8
7908,0,42,160.0,56.0,22.0,100.0,40.6
8084,0,52,159.0,59.0,11.0,96.0,40.1
7976,0,63,155.0,60.0,30.0,109.0,40.8
6211,0,24,164.0,61.0,29.0,109.0,40.8
12456,1,79,172.0,76.0,9.0,92.0,39.8
11923,1,73,192.0,98.0,20.0,102.0,40.5
9620,0,32,164.0,59.0,7.0,90.0,39.9
12450,1,65,178.0,83.0,23.0,99.0,40.8
10967,0,26,173.0,71.0,14.0,93.0,40.0
7907,1,22,181.0,85.0,28.0,112.0,40.4
10132,0,40,159.0,65.0,8.0,78.0,39.6
37,0,26,182.0,80.0,21.0,96.0,40.5
576,1,43,199.0,106.0,28.0,107.0,40.7
4822,0,40,172.0,70.0,11.0,94.0,39.7
3988,0,79,170.0,75.0,8.0,87.0,39.4
713,0,41,167.0,61.0,29.0,103.0,41.2
14409,1,64,186.0,89.0,24.0,110.0,40.9
14938,1,30,206.0,103.0,7.0,91.0,39.1
8251,0,55,191.0,84.0,9.0,89.0,39.3
2335,1,50,208.0,112.0,18.0,90.0,40.0
4745,1,70,167.0,76.0,19.0,97.0,40.6
4420,1,56,185.0,93.0,5.0,81.0,39.0
14184,1,51,180.0,80.0,14.0,89.0,40.1
14426,0,43,179.0,75.0,18.0,98.0,40.5
881,1,32,173.0,77.0,16.0,97.0,40.0
567,1,37,179.0,79.0,23.0,101.0,40.6
14244,1,23,195.0,85.0,5.0,87.0,39.0
4983,1,71,183.0,84.0,14.0,97.0,40.1
2245,0,35,169.0,66.0,5.0,75.0,39.0
5270,1,28,183.0,85.0,26.0,110.0,40.8
4165,0,65,166.0,70.0,14.0,98.0,39.8
8156,1,53,173.0,75.0,18.0,93.0,40.5
7820,1,50,177.0,79.0,21.0,96.0,40.5
10071,0,41,174.0,67.0,7.0,82.0,39.1
8655,0,79,164.0,66.0,17.0,99.0,40.3
239,0,71,164.0,60.0,18.0,97.0,40.5
12780,0,62,168.0,67.0,14.0,95.0,40.0
6454,1,31,170.0,67.0,5.0,90.0,39.1
6662,1,26,181.0,81.0,5.0,85.0,38.7
1597,1,79,184.0,87.0,5.0,87.0,39.1
9664,1,53,189.0,91.0,20.0,103.0,40.5
11522,0,45,173.0,66.0,5.0,79.0,39.3
1901,0,33,170.0,64.0,28.0,105.0,40.6
1180,0,67,156.0,56.0,5.0,85.0,39.0
13142,1,21,183.0,85.0,23.0,106.0,40.4
13204,1,24,188.0,90.0,13.0,93.0,40.0
8573,0,22,148.0,48.0,29.0,106.0,40.9
3006,1,28,176.0,71.0,2.0,82.0,38.5
9453,0,72,169.0,64.0,27.0,113.0,40.8
2781,1,79,180.0,82.0,21.0,103.0,40.2
9558,0,56,178.0,77.0,9.0,103.0,39.5
6110,0,69,159.0,63.0,26.0,106.0,40.6
5733,0,26,161.0,60.0,21.0,98.0,40.8
9185,0,47,164.0,64.0,18.0,110.0,40.2
12384,1,31,188.0,86.0,8.0,91.0,39.6
8846,1,24,189.0,93.0,20.0,93.0,40.4
2829,0,56,173.0,71.0,26.0,94.0,40.6
10735,1,63,180.0,82.0,10.0,90.0,39.7
9350,0,41,184.0,80.0,25.0,107.0,40.6
5277,1,20,197.0,102.0,4.0,91.0,39.1
8254,0,49,175.0,70.0,17.0,101.0,40.5
4219,1,71,168.0,68.0,18.0,98.0,40.2
11442,0,21,171.0,68.0,9.0,81.0,39.7
12847,1,73,202.0,107.0,13.0,96.0,39.9
13793,0,61,174.0,67.0,18.0,91.0,40.7
5431,1,27,168.0,71.0,15.0,96.0,40.1
3413,1,24,176.0,78.0,27.0,109.0,40.7
11705,1,29,181.0,77.0,13.0,97.0,40.1
906,1,22,198.0,97.0,1.0,79.0,37.5
7760,0,21,181.0,74.0,18.0,104.0,40.5
3693,1,59,172.0,80.0,16.0,102.0,40.0
13925,1,22,194.0,98.0,8.0,94.0,39.6
3118,1,76,176.0,79.0,18.0,98.0,40.1
12505,1,64,188.0,87.0,10.0,90.0,40.2
10565,1,22,171.0,74.0,9.0,89.0,39.6
13336,0,22,165.0,68.0,8.0,85.0,39.7
8621,1,40,180.0,82.0,14.0,88.0,40.1
11402,0,35,163.0,63.0,19.0,102.0,39.8
7706,1,26,191.0,93.0,12.0,93.0,40.0
7017,1,22,182.0,79.0,6.0,78.0,39.5
9305,0,21,184.0,69.0,14.0,98.0,40.3
295,0,30,168.0,67.0,29.0,107.0,40.9
13869,0,71,153.0,53.0,22.0,101.0,40.7
1785,0,39,169.0,62.0,29.0,113.0,41.0
4382,0,21,174.0,65.0,20.0,110.0,40.7
6507,1,21,193.0,97.0,27.0,107.0,40.4
10505,0,23,165.0,61.0,23.0,104.0,40.4
1284,0,23,185.0,80.0,8.0,91.0,39.4
7784,0,71,159.0,60.0,11.0,96.0,39.9
11199,0,26,158.0,56.0,22.0,97.0,40.4
12672,1,39,185.0,85.0,2.0,90.0,38.3
4454,0,26,165.0,60.0,17.0,95.0,40.4
14518,0,45,165.0,63.0,9.0,93.0,39.8
549,0,51,161.0,59.0,25.0,101.0,40.6
5340,1,65,166.0,65.0,2.0,85.0,38.0
12543,0,45,184.0,85.0,22.0,94.0,40.4
3574,0,35,157.0,61.0,11.0,84.0,39.8
12535,1,25,177.0,75.0,15.0,93.0,40.5
4352,1,67,176.0,78.0,27.0,101.0,40.8
6831,0,69,174.0,75.0,29.0,109.0,41.0
2648,1,74,191.0,99.0,14.0,89.0,40.2
2586,0,45,161.0,61.0,27.0,113.0,40.8
5862,1,70,187.0,89.0,28.0,112.0,40.8
3160,1,35,194.0,96.0,16.0,100.0,40.0
7152,1,27,184.0,88.0,6.0,88.0,39.4
3182,1,40,196.0,93.0,22.0,98.0,40.6
3480,1,56,174.0,78.0,4.0,83.0,38.5
2377,0,59,181.0,78.0,29.0,103.0,41.0
11108,0,29,166.0,62.0,13.0,93.0,40.2
12053,0,53,178.0,71.0,18.0,95.0,40.5
14190,1,69,187.0,93.0,11.0,99.0,40.2
8205,0,67,163.0,67.0,15.0,99.0,40.4
7698,1,57,177.0,79.0,29.0,117.0,40.7
10009,0,49,166.0,62.0,19.0,91.0,40.4
12396,0,60,169.0,70.0,6.0,89.0,39.3
5688,1,51,183.0,87.0,19.0,104.0,40.5
14476,1,20,186.0,81.0,9.0,92.0,39.7
13596,1,25,180.0,77.0,29.0,111.0,40.8
11113,1,55,183.0,84.0,5.0,80.0,39.0
8480,1,51,178.0,88.0,12.0,92.0,40.2
13495,1,25,184.0,84.0,7.0,82.0,39.3
8159,0,56,167.0,61.0,4.0,83.0,38.7
10117,1,47,190.0,95.0,21.0,99.0,40.5
8025,0,41,166.0,62.0,14.0,94.0,40.3
13039,0,74,174.0,79.0,4.0,90.0,38.8
13815,1,36,173.0,79.0,22.0,109.0,40.5
12212,1,53,173.0,78.0,13.0,96.0,39.9
1613,1,46,184.0,85.0,16.0,96.0,40.5
9997,0,44,179.0,78.0,1.0,87.0,38.3
8153,0,63,158.0,58.0,28.0,107.0,40.7
7936,1,30,182.0,82.0,11.0,85.0,39.6
8447,1,50,183.0,89.0,23.0,96.0,40.4
2015,0,39,181.0,78.0,6.0,88.0,39.4
9505,1,30,158.0,62.0,21.0,106.0,40.4
14710,1,45,171.0,73.0,19.0,105.0,40.2
7844,0,36,161.0,58.0,17.0,90.0,40.2
6442,1,20,176.0,79.0,26.0,103.0,40.8
2981,0,46,170.0,71.0,27.0,114.0,40.7
7606,0,20,177.0,70.0,12.0,97.0,39.8
10797,1,52,172.0,81.0,27.0,105.0,41.2
13097,0,20,171.0,63.0,5.0,87.0,39.0
243,1,63,200.0,105.0,15.0,102.0,40.3
5032,0,38,164.0,61.0,23.0,101.0,40.7
106,1,57,169.0,81.0,30.0,112.0,40.9
8709,1,21,182.0,83.0,10.0,89.0,39.5
6734,0,29,155.0,56.0,16.0,87.0,40.3
13257,1,69,207.0,111.0,21.0,98.0,40.6
13758,1,38,192.0,98.0,4.0,90.0,38.9
13302,1,39,190.0,88.0,16.0,96.0,40.3
9211,0,55,162.0,60.0,20.0,94.0,40.1
12687,1,75,185.0,86.0,1.0,85.0,37.8
9881,1,40,181.0,87.0,9.0,93.0,39.5
4605,0,41,165.0,67.0,7.0,88.0,39.4
8424,0,53,165.0,63.0,12.0,93.0,40.0
11507,0,30,176.0,71.0,4.0,82.0,38.6
5286,0,57,158.0,58.0,12.0,93.0,40.2
3960,0,22,154.0,49.0,16.0,95.0,40.3
3873,1,30,192.0,92.0,1.0,72.0,37.7
7854,1,26,194.0,91.0,7.0,87.0,39.5
13604,1,22,206.0,106.0,3.0,78.0,38.4
12756,1,44,177.0,81.0,24.0,111.0,40.7
8246,0,57,170.0,72.0,26.0,103.0,40.3
8852,1,33,173.0,76.0,18.0,89.0,40.1
13602,0,41,166.0,62.0,25.0,107.0,40.8
11277,0,43,188.0,83.0,25.0,113.0,40.7
7512,1,70,192.0,98.0,3.0,76.0,39.0
13751,1,73,167.0,68.0,13.0,93.0,39.9
29,1,38,171.0,75.0,2.0,81.0,38.2
2801,1,65,196.0,98.0,21.0,103.0,40.2
6875,1,34,179.0,82.0,29.0,111.0,40.8
8116,0,45,157.0,60.0,27.0,110.0,40.6
2922,0,75,182.0,82.0,22.0,99.0,40.5
4664,0,20,168.0,63.0,22.0,104.0,40.7
12853,0,75,164.0,61.0,17.0,93.0,40.3
8040,0,25,162.0,62.0,15.0,92.0,40.1
14301,1,68,179.0,88.0,19.0,97.0,41.0
1245,1,52,180.0,77.0,20.0,108.0,40.2
7136,0,70,170.0,66.0,3.0,86.0,38.8
4053,1,25,179.0,85.0,29.0,108.0,40.6
12983,1,65,191.0,87.0,23.0,103.0,40.9
4412,1,37,195.0,102.0,1.0,76.0,37.7
108,1,34,181.0,83.0,25.0,102.0,40.9
11955,1,46,171.0,73.0,10.0,97.0,39.4
6301,1,60,194.0,94.0,2.0,72.0,38.7
9276,1,40,191.0,94.0,9.0,83.0,39.7
11232,0,79,163.0,66.0,2.0,90.0,38.3
10778,1,42,193.0,91.0,13.0,99.0,40.2
13553,1,41,187.0,91.0,16.0,100.0,40.7
8673,1,38,173.0,77.0,9.0,94.0,39.6
4394,1,62,191.0,94.0,17.0,96.0,39.9
12955,1,23,177.0,79.0,29.0,106.0,40.9
12696,1,22,177.0,76.0,9.0,89.0,39.7
11785,1,43,200.0,104.0,8.0,90.0,39.9
10063,0,67,159.0,59.0,25.0,103.0,41.0
4348,0,26,167.0,69.0,16.0,98.0,40.2
11218,0,68,181.0,73.0,3.0,89.0,38.9
14208,1,40,178.0,88.0,10.0,91.0,39.9
7476,0,54,155.0,60.0,19.0,110.0,40.4
7254,0,42,179.0,80.0,9.0,87.0,39.9
7840,1,27,184.0,87.0,3.0,81.0,38.6
5001,1,51,199.0,104.0,25.0,104.0,40.3
5610,1,61,191.0,91.0,25.0,114.0,41.0
6367,0,30,171.0,71.0,8.0,75.0,39.6
973,0,64,154.0,61.0,20.0,94.0,41.0
4999,1,48,171.0,79.0,25.0,102.0,40.2
4299,0,51,169.0,67.0,23.0,97.0,40.5
5019,1,34,178.0,81.0,9.0,95.0,39.7
3653,1,37,196.0,104.0,15.0,101.0,40.2
12226,1,20,187.0,81.0,16.0,91.0,40.1
10242,0,23,145.0,44.0,12.0,92.0,40.0
3088,1,52,191.0,85.0,2.0,81.0,37.9
5456,0,46,165.0,63.0,19.0,107.0,40.3
5662,1,73,213.0,121.0,27.0,112.0,40.9
8701,0,67,156.0,54.0,5.0,89.0,39.1
5805,1,76,191.0,96.0,2.0,83.0,37.7
14081,1,38,200.0,104.0,13.0,86.0,40.1
10,0,36,177.0,76.0,1.0,74.0,37.8
2647,1,41,195.0,96.0,19.0,100.0,40.5
11783,0,71,179.0,78.0,6.0,83.0,39.4
1426,0,22,152.0,54.0,15.0,100.0,40.4
12099,1,39,180.0,88.0,22.0,104.0,40.7
3265,0,61,156.0,59.0,9.0,101.0,39.7
11762,0,56,151.0,53.0,24.0,101.0,40.4
11940,0,54,153.0,53.0,25.0,106.0,40.8
12956,1,29,176.0,77.0,27.0,100.0,40.6
13237,0,43,157.0,56.0,20.0,99.0,40.6
1215,1,39,194.0,95.0,14.0,98.0,40.3
11740,0,52,181.0,76.0,19.0,98.0,40.2
13890,0,27,173.0,67.0,17.0,104.0,40.3
13585,1,77,206.0,106.0,25.0,92.0,40.8
9490,0,47,165.0,67.0,6.0,80.0,39.1
6702,0,20,163.0,57.0,19.0,96.0,40.5
323,1,57,169.0,72.0,8.0,84.0,39.7
1344,0,58,167.0,64.0,26.0,105.0,40.5
4457,0,21,152.0,50.0,1.0,86.0,37.3
11903,0,20,162.0,61.0,13.0,91.0,40.2
909,1,60,187.0,87.0,13.0,82.0,40.2
10141,1,71,180.0,79.0,7.0,93.0,39.2
3399,1,52,173.0,77.0,14.0,88.0,40.4
496,0,39,164.0,58.0,25.0,106.0,40.6
9349,0,75,161.0,67.0,29.0,105.0,41.1
13008,1,77,190.0,100.0,16.0,96.0,40.3
10285,1,31,177.0,79.0,24.0,96.0,41.2
5312,1,35,171.0,78.0,8.0,86.0,39.7
12804,0,30,178.0,77.0,21.0,106.0,40.8
3470,0,35,191.0,83.0,26.0,107.0,40.6
14055,1,22,182.0,86.0,4.0,88.0,38.9
6848,0,29,161.0,58.0,2.0,77.0,38.1
4365,0,36,163.0,59.0,4.0,83.0,38.9
10356,0,64,159.0,55.0,25.0,110.0,40.8
1195,0,44,166.0,64.0,25.0,101.0,40.8
12082,0,65,148.0,50.0,2.0,83.0,38.1
1423,1,26,185.0,82.0,16.0,85.0,40.1
5477,0,26,155.0,57.0,21.0,95.0,40.7
256,1,75,187.0,97.0,7.0,84.0,39.1
12633,1,36,164.0,66.0,18.0,92.0,40.4
13280,0,33,182.0,77.0,24.0,102.0,40.7
288,1,54,190.0,95.0,22.0,110.0,40.3
8412,0,66,160.0,55.0,10.0,81.0,39.9
14469,0,63,147.0,54.0,29.0,117.0,40.4
8919,1,62,196.0,94.0,14.0,89.0,40.1
10089,0,22,165.0,62.0,28.0,111.0,40.8
12944,0,79,163.0,65.0,30.0,113.0,41.1
4484,1,35,179.0,77.0,25.0,105.0,40.6
14291,0,27,166.0,65.0,10.0,88.0,39.7
7515,0,47,168.0,66.0,23.0,104.0,40.4
7070,0,23,165.0,61.0,10.0,100.0,39.8
1232,1,24,183.0,83.0,26.0,109.0,40.6
9366,1,29,179.0,83.0,20.0,98.0,40.5
5553,0,20,158.0,48.0,13.0,100.0,40.1
2675,0,41,154.0,52.0,30.0,117.0,40.9
1112,0,23,166.0,65.0,29.0,108.0,41.5
4919,0,22,169.0,64.0,19.0,100.0,40.4
12491,0,22,177.0,73.0,16.0,100.0,40.6
267,1,34,185.0,83.0,23.0,97.0,40.8
10739,0,60,193.0,84.0,14.0,93.0,40.1
6497,1,47,202.0,100.0,14.0,105.0,39.8
5318,0,70,181.0,84.0,8.0,96.0,39.4
12164,0,69,147.0,51.0,20.0,96.0,40.1
7672,0,59,157.0,51.0,11.0,94.0,39.8
3048,0,34,155.0,57.0,26.0,109.0,40.9
6167,0,76,155.0,61.0,14.0,85.0,40.3
8117,1,65,191.0,91.0,29.0,105.0,41.0
1379,1,54,191.0,88.0,23.0,113.0,40.2
11825,1,26,192.0,93.0,13.0,92.0,40.1
11520,0,48,182.0,78.0,6.0,79.0,39.3
9606,1,23,181.0,81.0,10.0,89.0,39.6
4759,1,58,207.0,105.0,8.0,91.0,39.5
9574,1,31,178.0,86.0,21.0,110.0,40.7
5502,1,38,196.0,100.0,29.0,111.0,40.6
13920,1,49,203.0,104.0,28.0,108.0,40.9
3790,0,34,156.0,52.0,11.0,87.0,39.9
620,1,44,184.0,85.0,9.0,85.0,39.6
652,1,79,191.0,91.0,8.0,90.0,39.6
5723,0,26,166.0,60.0,20.0,103.0,40.6
12774,1,74,173.0,80.0,14.0,90.0,40.0
3473,1,66,192.0,86.0,1.0,83.0,37.7
12336,1,58,182.0,85.0,6.0,85.0,39.2
5028,0,23,140.0,50.0,21.0,93.0,41.0
6836,0,32,162.0,60.0,21.0,102.0,40.6
6271,0,40,178.0,73.0,8.0,88.0,39.7
11750,0,71,155.0,60.0,17.0,91.0,40.1
2516,0,21,155.0,58.0,27.0,103.0,40.7
12019,1,60,187.0,88.0,29.0,108.0,40.8
11481,1,73,196.0,103.0,20.0,104.0,40.6
7076,1,46,194.0,97.0,23.0,105.0,40.9
13303,1,73,180.0,82.0,2.0,79.0,38.2
8223,0,77,169.0,65.0,29.0,106.0,40.9
10791,0,39,166.0,63.0,20.0,102.0,40.6
14569,0,30,149.0,52.0,25.0,100.0,40.7
3603,0,36,154.0,59.0,5.0,87.0,39.3
11743,0,30,164.0,60.0,18.0,96.0,40.6
14253,0,51,153.0,56.0,27.0,102.0,40.8
5458,1,34,185.0,79.0,21.0,92.0,40.3
11976,1,29,185.0,87.0,14.0,97.0,40.1
1506,0,23,176.0,72.0,23.0,107.0,40.8
8336,1,67,184.0,88.0,26.0,106.0,41.0
12996,0,24,176.0,70.0,5.0,94.0,39.1
14724,0,50,166.0,65.0,4.0,86.0,39.0
10926,1,71,210.0,121.0,6.0,94.0,39.1
12376,0,57,159.0,61.0,2.0,87.0,38.5
14158,1,37,190.0,93.0,28.0,108.0,40.7
14628,1,52,161.0,69.0,11.0,84.0,40.1
4890,1,20,180.0,80.0,6.0,82.0,39.2
730,0,25,159.0,57.0,15.0,99.0,40.2
7021,0,51,169.0,69.0,12.0,96.0,40.1
13491,0,36,164.0,60.0,17.0,100.0,40.4
8470,1,74,177.0,81.0,28.0,112.0,40.9
8534,1,35,189.0,97.0,10.0,102.0,40.2
1745,1,37,185.0,85.0,10.0,90.0,39.6
3853,0,76,179.0,80.0,21.0,110.0,40.9
12409,0,40,164.0,62.0,13.0,101.0,40.0
14637,1,25,185.0,80.0,18.0,108.0,40.2
2709,1,36,163.0,69.0,24.0,102.0,40.8
9761,1,23,191.0,89.0,14.0,99.0,40.0
3388,1,21,188.0,93.0,22.0,97.0,40.8
14687,0,61,165.0,67.0,29.0,104.0,41.1
12107,1,23,189.0,93.0,12.0,98.0,39.9
14720,0,32,180.0,75.0,7.0,92.0,39.0
5640,0,40,169.0,74.0,10.0,90.0,39.9
8314,1,71,175.0,82.0,18.0,89.0,40.4
3126,0,33,166.0,65.0,14.0,89.0,40.4
1156,1,32,198.0,100.0,29.0,105.0,40.8
9825,0,29,164.0,60.0,23.0,101.0,40.9
32,0,24,165.0,59.0,18.0,91.0,40.2
10122,1,20,173.0,75.0,9.0,93.0,39.9
11630,0,58,169.0,64.0,27.0,107.0,40.9
1336,1,67,170.0,79.0,2.0,91.0,38.3
13534,0,32,171.0,64.0,20.0,98.0,40.4
10799,0,56,164.0,63.0,13.0,94.0,39.9
12842,0,28,160.0,60.0,1.0,86.0,37.4
8824,0,62,158.0,59.0,29.0,111.0,41.0
1610,1,57,176.0,76.0,23.0,101.0,40.9
939,0,33,155.0,55.0,4.0,80.0,38.7
5381,1,28,181.0,79.0,22.0,105.0,40.6
4023,0,72,146.0,53.0,12.0,94.0,40.1
6243,1,48,177.0,82.0,30.0,99.0,40.5
13219,1,69,170.0,76.0,4.0,84.0,38.8
11032,1,42,177.0,76.0,5.0,89.0,38.9
745,1,26,180.0,75.0,4.0,77.0,39.2
4083,0,23,165.0,59.0,28.0,113.0,40.5
9640,0,66,171.0,76.0,11.0,93.0,39.7
2877,1,42,182.0,85.0,23.0,100.0,40.7
4963,1,40,196.0,102.0,5.0,91.0,39.1
4701,1,43,170.0,73.0,28.0,106.0,40.9
1741,1,20,190.0,86.0,22.0,103.0,40.7
9271,0,66,169.0,71.0,17.0,101.0,40.4
2651,0,36,149.0,53.0,16.0,94.0,40.4
5665,0,21,163.0,60.0,11.0,83.0,40.0
3002,1,67,179.0,83.0,10.0,89.0,39.9
1821,0,59,155.0,55.0,20.0,96.0,40.4
13383,0,56,143.0,49.0,27.0,106.0,40.8
1330,1,32,196.0,95.0,19.0,98.0,40.4
14883,1,70,184.0,93.0,7.0,86.0,39.2
957,1,25,184.0,82.0,10.0,88.0,39.9
2110,0,20,157.0,49.0,24.0,111.0,40.1
5399,0,28,152.0,54.0,8.0,84.0,39.7
4691,1,44,175.0,73.0,14.0,95.0,40.4
1660,0,61,163.0,65.0,19.0,92.0,40.6
13802,0,58,163.0,61.0,4.0,80.0,38.8
5106,1,25,187.0,86.0,28.0,106.0,40.8
13353,1,41,196.0,94.0,15.0,93.0,40.3
655,1,41,186.0,87.0,14.0,100.0,40.3
12044,0,20,162.0,59.0,18.0,95.0,40.6
14844,0,52,159.0,62.0,23.0,99.0,40.4
13985,0,31,171.0,70.0,5.0,83.0,39.0
7974,1,52,182.0,86.0,28.0,104.0,40.3
8612,0,47,171.0,67.0,10.0,96.0,40.1
6883,1,62,185.0,84.0,12.0,93.0,39.9
2199,0,31,176.0,68.0,15.0,96.0,40.3
2960,0,20,168.0,64.0,12.0,96.0,39.8
4640,0,24,164.0,63.0,16.0,94.0,40.2
9164,0,32,163.0,62.0,2.0,91.0,38.4
13040,1,67,184.0,88.0,29.0,111.0,40.8
11423,0,54,163.0,60.0,10.0,94.0,39.8
5868,0,40,135.0,42.0,14.0,94.0,40.2
11549,1,68,185.0,87.0,10.0,101.0,39.9
1405,1,21,193.0,92.0,20.0,108.0,40.5
10703,1,41,181.0,82.0,26.0,106.0,40.8
2625,0,32,164.0,62.0,25.0,100.0,40.3
9132,1,40,183.0,84.0,18.0,101.0,40.3
5206,1,21,175.0,78.0,2.0,81.0,38.3
6084,0,59,149.0,54.0,26.0,104.0,40.8
4972,0,59,157.0,58.0,18.0,96.0,40.2
3148,0,61,170.0,68.0,3.0,82.0,38.8
8944,1,24,180.0,84.0,21.0,98.0,40.6
2873,1,41,175.0,82.0,4.0,80.0,38.9
3916,0,29,165.0,62.0,13.0,87.0,40.2
5267,1,28,185.0,80.0,12.0,91.0,40.2
6400,0,56,152.0,54.0,14.0,94.0,39.9
6561,1,30,194.0,88.0,4.0,80.0,38.7
